label,file,stream,sni,packet_1,packet_2,packet_3,packet_4,packet_5,packet_6,packet_7,packet_8,packet_9,packet_10,packet_11,packet_12,packet_13,packet_14,packet_15,packet_16,packet_17,packet_18,packet_19,packet_20,packet_21,packet_22,packet_23,packet_24,packet_25,packet_26,packet_27,packet_28,packet_29,packet_30
www.cnki.net,cnki.pcap,5327,c61.cnki.net,851,245,80,1456,271,647,395,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,14648,www.cnki.com.cn,517,1460,514,80,806,271,271,371,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,4038,c61.cnki.net,851,1460,46,342,266,2133,421,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ghxi.com,ghxi.pcap,3377,opportunarch.iqiyi.com,517,1452,777,80,46,49,35,141,303,303,71,31,258,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,4166,setupad-d.openx.net,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wujiebantu.com,wujiebantu.pcap,669,3706c49f-sb49s0-0-8m39.183176.com,824,245,80,344,287,61,907,1460,1460,852,86,3119,309,309,329,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.12371.cn,12371.pcap,2588,p5.img.cctvpic.com,778,1460,890,93,821,274,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,3493,p5.img.cctvpic.com,714,1460,890,93,731,274,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,1546,data.cnki.net,597,1460,528,80,2247,271,271,1460,1460,1460,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,4779,c61.cnki.net,740,1460,528,80,1456,271,649,271,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,3086,law.cnki.net,819,245,80,1456,271,692,1460,22,1460,22,1460,22,1460,22,1460,1460,1460,709,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,13453,c61.cnki.net,883,245,80,1456,271,569,393,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,22439,apps.bdimg.com,517,1412,1074,85,91,424,86,266,70,1412,1412,1412,30,1412,44,38,23,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,1821,icon.zol-img.com.cn,539,1460,524,85,266,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.52pojie.cn,52pojie.pcap,5838,c61.cnki.net,787,245,80,1456,271,649,1052,1460,98,790,1460,888,790,1460,942,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,703
www.cnki.net,cnki.pcap,1800,gov.cnki.net,851,245,80,2172,271,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1460,1456,0
www.freesion.com,freesion.pcap,355,shb.richaudience.com,572,1460,1176,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,5037,mcs.zijieapi.com,517,1460,374,80,92,182,2025,271,31,31,741,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,3679,paper.people.com.cn,603,1460,1176,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ccf.org.cn,ccf.pcap,340,dblp.uni-trier.de,824,240,64,287,963,942,961,951,813,1460,1460,1460,1460,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.wzu.edu.cn,wzu.pcap,7677,googleads.g.doubleclick.net,1077,388,74,982,73,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.ghxi.com,ghxi.pcap,1255,hm.baidu.com,636,158,51,913,328,717,237,986,328,948,328,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.freesion.com,freesion.pcap,1251,tpc.googlesyndication.com,977,386,74,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,12727,cdap.cnki.net,884,245,80,1456,271,299,1092,790,790,1460,98,1460,98,362,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.runoob.com,runoob.pcap,680,static.jyshare.com,809,254,80,287,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,723,ynuf.aliapp.org,711,1440,659,93,661,274,950,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,15858,dp.cnki.net,595,1460,528,80,1203,271,271,1460,98,1460,98,1460,98,1460,174,1460,98,1460,98,1460,1306,24,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,12635,k.cnki.net,785,245,80,1983,271,1460,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,17977,cloudconfig.jetbrains.com,591,147,6,45,321,317,333,436,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.cnki.net,cnki.pcap,17472,wgyxy.wzu.edu.cn,568,1460,594,80,687,271,271,1460,914,1460,1460,1460,11,699,1460,500,699,1021,697,1460,1312,793,1460,914,1460,1460,1460,1460,1460,1460
